head	tail	relation
elimination from League Cup	Shrewsbury Town	occurred after
Derby County	top 2 position in September	maintained
2–1 win at local rivals Nottingham Forest	main highlight in September	were
Frank Fielding	a penalty	committed action against
Frank Fielding	after 67 seconds	receive
Jeff Hendrick's winner	first goal in senior football	is
October and November	disappointing	descriptive term
Derby County	only 1 win and 5 points out of a possible 30	outcome
Derby County	15th place	league position
slump in form	4–0 defeat at rivals Leicester City	began
Nigel Clough and his backroom staff	new 3 1/2-year contracts	extension of
Nigel Clough and his backroom staff	in mid-October	date of signing
Derby County	in December and January	time period of
Derby County	only twice	win-loss record
Derby County	17 points	points scored
Derby County	12th	league position
Derby County	8th in mid-January	league position
February	another disappointing month	descriptive term
Derby County in February	1 point	points scored
Derby County in February	no goals	scored goal
Derby County	2nd 4–0 defeat of the season	defeated opponent
Southampton F.C.	2nd 4–0 defeat of the season	defeated opponent
Derby County	15th in the table	position held start date
Derby County	14 points out of a possible 21	points scored
14 points picked up	11th in the table	position held from
11th in the table	5 points off the play-offs	field of play
Derby County	4 games remaining	number of games
Nigel Clough	ruled out a play-off place	field of play
Nigel Clough	wished there were more than 4 games left	number of games
Derby County	great form	form
The Apple Dumpling Gang	novel	instance of
The Apple Dumpling Gang	Jack Bickham	author of work
The Apple Dumpling Gang	a group of orphaned children during the California gold rush	subject is
a group of orphaned children	a gambler	met
a gambler	a group of orphaned children	helps to
a group of orphaned children	a pair of hapless robbers	met
a pair of hapless robbers	the gold the children have found	seeks information
Gun Shy (TV series)	American sitcom	instance of
Gun Shy (TV series)	CBS	network
Gun Shy (TV series)	Walt Disney Productions	role in production
Gun Shy (TV series)	The Apple Dumpling Gang	is based on
Gun Shy (TV series)	The Apple Dumpling Gang Rides Again	is based on
Billardiera scandens	Apple Berry	common name
Billardiera scandens	Apple Dumpling	common name
Billardiera scandens	small shrub or twining plant	instance of
Billardiera scandens	forests in the coastal and tableland areas of all states and territories in Australia	habitat
Billardiera scandens	Northern Territory	not found in
Billardiera scandens	Western Australia	not found in
Billardiera scandens	a silky touch and appearance	meets quality standard
Billardiera scandens	more brittle as the dense growth matures	meets quality standard
Billardiera scandens	yellow flowers	has part of
Billardiera scandens	pink-tinged yellow sepals	has part of
Billardiera scandens	bright yellow petals	has part of
yellow flowers	a hairy drooping peduncle	assigned to
Billardiera scandens	fruit of oblong berries	has part of
fruit of oblong berries	30 mm long	maximum size
fruit of oblong berries	green in colour	color
fruit of oblong berries	fine hair	covered with
fruit of oblong berries	a tiny kiwifruit in appearance	is similar to
Jack Bickham	Jack Miles Bickham	surname
Jack Miles Bickham	American author	instance of
75 published novels	Jack Miles Bickham	creator of
The Apple Dumpling Gang	movie	instance of
Baker's Hawk	movie	instance of
The Apple Dumpling Gang	two published novels	is a work by
Baker's Hawk	two published novels	is a work by
Apple dumpling	pastry	instance of
Apple dumpling	apple	ingredient
Apple dumpling	cinnamon	ingredient
Apple dumpling	raisins	ingredient
Legatus	empire period	time period of
Legatus	military governor	instance of
Legatus	general	instance of
Legatus	colonel in the Roman army	instance of
Legatus	modern high ranking general officer	is similar to
Legatus	senatorial rank	rank
Legatus	deputy to his immediate superior	organization
emperor	Legatus's immediate superior	chief operating officer
other high official	Legatus's immediate superior	chief operating officer
Legatus	military governor of a Roman province	organization
Legatus	imperial governor of a Roman province	organization
Legatus	all military tribunes	ranked
military tribunes	major	is similar to
major	base rank of a praetorian	is
propraetorian imperium	A legate	held
propraetorian imperium	legatus pro praetore	instance of
Warburton	mid-sized town	instance of
Warburton	Punjab province of Pakistan	part of the administrative territorial entity
Warburton	15 km north of Nankana Sahib	location of settlement
Warburton	30 km southeast of Sheikhupura	location of settlement
Warburton	John Paul Warburton	is named after
John Paul Warburton	1840-1919	date of death
John Paul Warburton	high ranking police officer of the Raj period	occupation
The Warburtons	prominent Anglo-Indian family	instance of
John Paul Warburton	Jan Dad Khan	original name
high school	John Paul Warburton's residence at that time	located on site
high school	still functional	status
Warburton area	textile industries	contained within
Warburton area	police station	has
Warburton area	post office	has participation in
Warburton area	girl's college	has participation in
Warburton area	rice	primary business
The Walt Disney Company	James A. "Jay" Rasulo	chief executive officer
James A. "Jay" Rasulo	Christine McCarthy	successor of
Walt Disney Parks and Resorts	James A. "Jay" Rasulo	chairperson
James A. "Jay" Rasulo	October 2005 to December 2009	term of office
James A. "Jay" Rasulo	Thomas O. Staggs	replaces
theme park division	James A. "Jay" Rasulo	president
James A. "Jay" Rasulo	September 2002	start time
James A. "Jay" Rasulo	Paul Pressler	replaces
Deputy Secretary of State of the United States	principal deputy to the Secretary of State	class
Deputy Secretary of State of the United States	Acting Secretary of State	replaces
ESPN College Football Primetime	one of several shows produced by ESPN	describes
Samantha Ponder	Samantha Sainte-Claire Ponder	official name
Samantha Ponder	Steele	surname
Samantha Ponder	American sportscaster	occupation
Samantha Ponder	Sunday NFL Countdown on ESPN	host
College GameDay	Erin Andrews	subsequent host
Erin Andrews	Samantha Ponder	being replaced by
Samantha Ponder	Saturdays at 10 AM ET on ESPN	played college football as wide receiver at
Samantha Ponder	as co-host of the Saturday 9 AM ET edition on ESPNU	played college football as wide receiver at
Samantha Ponder	ESPN's Thursday Night College Football	sideline reporter
ESPN's Thursday Night College Football	Samantha Ponder	sideline reporter
Samantha Ponder	August 2012 until 2014	sideline reporter
Samantha Ponder	Longhorn Network	appear on
Longhorn Network	Texas-oriented regional network	type
Longhorn Network	ESPN	owner of
ESPN College Football Thursday Primetime	Applebee's	sponsor
ESPN College Football Thursday Primetime	every Thursday night at 7:45pm ET during the college football regular season	date of broadcast
ESPN College Football Thursday Primetime	a 30-minute segment	preceded by
a 30-minute segment	Adnan Virk	features
a 30-minute segment	Joey Galloway	features
a 30-minute segment	Jesse Palmer	features
the halftime report	Adnan Virk	contributor to
the halftime report	Joey Galloway	contributor to
the halftime report	Jesse Palmer	contributor to
ESPN College Football Thursday Primetime	high definition on ESPNHD	broadcast network
College GameDay (football)	ESPN College GameDay built by The Home Depot	rebranded
College GameDay (football)	a pre-game show	instance of
College GameDay (football)	ESPN	executive producer
College GameDay (football)	the network's coverage of college football	is part of
College GameDay (football)	Saturday mornings during the college football season	date of broadcast
College GameDay (football)	12:00 p.m. ET kickoff	date of broadcast
Synthesis	fourth studio album by American rock band Evanescence	instance of
Synthesis	BMG Rights Management	publisher
Synthesis	reworked versions of Evanescence's previous material with an orchestral arrangement and electronica music elements	has part of
Synthesis	two new songs	has part of
arrangement	David Campbell	contributor to
arrangement	Amy Lee	contributor to
arrangement	William B. Hunt	contributor to
Synthesis Tour	Evanescence	followed by
Synthesis Tour	Las Vegas	debut location
Synthesis Tour	cities across the US and Canada	transport destination of
Synthesis Tour	December	end date of
Henriad	common title used by scholars for Shakespeare's second historical tetralogy	instance of
Shakespeare's second historical tetralogy	Richard II	has part of
Shakespeare's second historical tetralogy	Henry V	contains
Shakespeare's second historical tetralogy	destabilising effects of the violation of political continuity with the overthrow of Richard II of England	depicted
Shakespeare's second historical tetralogy	growth of Henry V of England from a wild youth to a great war leader in Henry V	depicted
subject matter of Henriad	first tetralogy	order
first tetralogy	three Henry VI plays	contains
first tetralogy	Richard III	contains
Henriad	Classical epics the Iliad and Aeneid	name derived from
Final Symphony II	symphonic concert tour	instance of
Final Symphony II	date	status
concert tour	arrangements of video game music selected from the Final Fantasy series	features
concert tour	arrangements from Final Fantasy V	features
concert tour	arrangements from Final Fantasy VIII	features
concert tour	arrangements from Final Fantasy IX	features
concert tour	arrangements from Final Fantasy XIII	features
Final Symphony II	four acts	divided by
"IX" portion	piano concerto	instance of
Final Symphony II	Final Symphony	series
Final Symphony	tour of orchestral arrangement performances	instance of
Final Symphony	Final Fantasy VI	features
Final Symphony	Final Fantasy VII	features
Final Symphony	Final Fantasy X	features
Final Symphony	2013	date of start
concert	Thomas Böcker	executive producer
concert	Jonne Valtonen	featuring artist
concert	Roger Wanamo	featuring artist
Mary Poppins (musical)	Sherman Brothers	composer
Mary Poppins (musical)	George Stiles and Anthony Drewe	composer
Mary Poppins (musical)	Julian Fellowes	author of work
Mary Poppins (musical)	Mary Poppins children's books by P. L. Travers	is based on
Mary Poppins (musical)	1964 Disney film	is based on
Mary Poppins (musical)	fusion of various elements from the two	instance of
Mary Poppins Opens the Door	British children's fantasy novel	instance of
Mary Poppins Opens the Door	P.L. Travers	author of work
Mary Poppins Opens the Door	third book in the Mary Poppins series	instance of
Mary Poppins Opens the Door	last novel in the Mary Poppins series	instance of
Mary Poppins Opens the Door	Mary Poppins	has part or parts
Mary Poppins Opens the Door	1943	date of publication
Mary Poppins Opens the Door	Mary Shepard and Agnes Sims	illustrates
Pamela Lyndon Travers	Helen Lyndon Goff	original name
Pamela Lyndon Travers	9 August 1899	date of birth
Pamela Lyndon Travers	23 April 1996	date of death
Pamela Lyndon Travers	an Australian-born writer	is a description of
Pamela Lyndon Travers	England	location of practice
"Mary Poppins" series of children's books	Pamela Lyndon Travers	author of work
Mary Poppins (character)	fictional character	instance of
Mary Poppins (character)	P. L. Travers	creator of
Mary Poppins (character)	P. L. Travers	creator of
Mary Poppins (character)	a magical English nanny	is a description of
Mary Poppins (character)	East Wind	subsequent location
Mary Poppins (character)	Banks children	guardian of
Mary Poppins (character)	Banks children valuable lessons with a magical touch	taught
P. L. Travers	the accent and vocabulary of a real London nanny	character relation
Chim Chim Cher-ee	song	instance of
Chim Chim Cher-ee	Dick Van Dyke and Julie Andrews	original recording artist
Chim Chim Cher-ee	Cameron Mackintosh/Disney "Mary Poppins" musical	featured appearance
